,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,1866,900,966,46,200,720,1866,908,350,608,0,2115,0,0,0,0,0,2.8,0,0,0,0,0,0,0,352,450,588,608,0,0,0,0,0
1991,1847,923,924,86,339,499,1847,908,376,563,0,1591,0,0,0,0,0,3,0,0,0,0,0,0,0,368,465,600,640,0,0,0,0,0
1993,1678,914,764,102,266,396,1678,889,118,671,0,1705,0,0,214,79,135,1.5,0,0,0,0,0,0,0,374,476,615,673,0,0,0,0,0
1993.1,2045,623,1422,208,230,984,2045,622,88,1335,0,1731,0,0,383,145,238,2.4,0,0,0,0,0,0,0,376,486,635,701,0,0,0,0,0
1994,1600,727,873,154,202,517,1600,719,115,766,0,1996,0,0,620,215,405,2.9,0,0,0,0,0,0,0,388,501,640,786,0,0,0,0,0
1995,886,429,457,60,8,389,886,417,142,327,0,1156,0,0,533,129,404,7.7,0,0,0,0,0,0,0,408,498,651,727,0,0,0,0,0
1996,865,556,309,8,75,226,865,552,5,308,0,940,0,0,377,83,294,6,0,0,0,0,0,0,0,401,501,645,741,143.086,0,0,0,0
1997,871,527,344,60,10,274,871,522,59,290,0,937,0,0,321,88,233,5.1,0,0,0,0,0,0,0,406,500,628,756,145.868,0,0,0,0
1998,536,426,110,34,21,55,536,393,61,82,0,744,0,0,389,150,239,7.4,0,0,0,0,0,0,0,411,501,633,715,148.238,0,0,0,0
1999,566,400,166,18,56,92,566,402,92,72,0,589,0,0,296,120,176,6.7,0,0,0,0,0,0,0,408,499,630,721,149.83,0,0,0,0
2000,405,381,24,24,0,0,405,375,6,23,1,457,0,0,160,110,50,3.7,0,0,0,0,0,0,0,408,507,632,735,151.662,0,0,0,0
2001,418,412,6,6,0,0,418,412,0,6,0,407,436,54.108,116,88,28,2.4,0,0,0,0,0,0,0,420,517,645,746,153.934,65,0,6.8,0
2002,1038,558,480,10,57,413,1038,708,229,99,2,702,1061,122.768,84,66,18,2,0,0,0,0,0,0,0,439,530,650,727,155.364,67.9,5.31468531468531,7.5,908
2003,1056,634,422,16,71,335,1056,916,60,80,0,1025,921,113.316,91,61,30,2.5,0,0,0,0,0,0,0,445,537,672,749,157.057,66.8,0,7.5,1066
2004,1083,607,476,24,46,406,1083,813,132,138,0,940,1002,133.25,88,84,4,2.8,4,0,0,0,0,0,0,442,546,684,770,159.71,68,5.04648074369189,6.5,1986
2005,1012,458,554,18,43,493,1012,675,82,255,0,1089,1113,148.937,136,81,55,3.8,4.6,0,0,0,0,0,0,450,560,704,790,161.93,66.0999999999999,0,5.6,1532
2006,1207,427,780,10,89,681,1207,527,0,680,0,745,1210,150.902,85,77,8,2,3.5,0,0,0,0,0,0,494,582,719,781,164.31,66.9,4.17193426042985,4.6,2646
2007,1088,527,561,8,103,450,1088,728,0,360,0,1273,1107,180.493,153,84,69,2.1,3.4,0,0,0,0,0,0,520,610,752,841,165.676,66.9,1.57766990291261,4.2,874
2008,1285,358,927,46,103,778,1285,417,0,868,0,1072,1193,165.156,286,177,109,2.6,3.4,0,0,0,0,0,0,522,627,765,807,168,68.8,3.8231780167264,4.9,1821
2009,365,210,155,2,21,132,365,282,1,82,0,898,435,71.764,197,100,97,6.1,6.7,5.7,0,0,0,0,0,552,646,781,860,170.566,68.5,-1.84119677790564,8,1960
2010,516,355,161,2,75,84,516,433,5,78,0,767,553,87.397,186,94,92,6.5,7.7,8.6,0,0,0,0,0,546,655,785,875,172.72,68.8,1.99296600234466,7.9,1718
2011,537,245,292,2,135,155,537,304,10,223,0,456,535,82.968,123,107,16,6.7,7.5,18.1,0,0,0,0,0,560,663,800,921,174.321,66.0999999999999,-3.56321839080459,8.8,863
2012,371,198,173,2,88,83,371,245,7,119,0,520,482,79.683,198,120,78,4.2,5.4,13.3,0,0,0,0,0,559,661,818,938,176.645,67.8,4.76758045292014,8.1,1421
2013,749,201,548,0,91,457,749,186,280,283,0,355,645,85.908,164,68,96,3.2,3.9,7.8,0,0,0,0,0,575,676,820,953,178.47,68.5999999999999,2.61660978384527,7.7,891
2014,499,251,248,2,65,181,499,226,60,213,0,576,521,87.011,104,48,56,3.1,4.6,8.2,0,0,0,0,0,581,684,835,958,180.886,65.4,-3.65853658536585,7.4,1504
2015,806,393,413,4,154,255,806,367,115,324,0,613,1145,186.254,130,24,106,0.8,1.3,7.4,0,0,0,0,0,589,712,864,972,184.175,67.0999999999999,4.83314154200228,6.4,2412
2016,1136,469,667,30,243,394,1136,432,122,582,0,864,1017,181.116,153,68,85,0.5,0.8,5.2,0,0,0,0,0,619,744,915,1019,186.792,66.0999999999999,0,6.6,2864
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford,abbotsford
