,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,685,450,235,10,38,187,685,460,115,110,0,855,0,0,0,0,0,2.3,0,0,0,0,0,0,333,477,562,663,0,0,0,0,0
1991,585,263,322,18,0,304,585,281,304,0,0,585,0,0,0,0,0,2.7,0,0,0,0,0,0,384,509,603,672,0,0,0,0,0
1992,208,198,10,4,0,6,208,200,8,0,0,284,0,0,34,11,23,3.6,0,0,0,0,0,0,404,529,614,719,0,0,0,0,0
1993,396,280,116,16,27,73,396,296,89,11,0,356,0,0,35,18,17,4.9,0,0,0,0,0,0,398,543,635,727,0,0,0,0,0
1994,230,205,25,10,0,15,230,215,0,15,0,364,0,0,34,33,1,4.6,0,0,0,0,0,0,412,548,643,745,0,0,0,0,0
1995,351,193,158,2,51,105,351,195,105,51,0,202,0,0,15,15,0,3.3,0,0,0,0,0,0,429,546,641,740,0,0,0,0,0
1996,340,278,62,2,60,0,340,280,0,60,0,411,0,0,47,23,24,5.5,0,0,0,0,0,0,419,562,648,747,0,0,0,0,0
1997,378,283,95,4,91,0,378,287,0,91,0,411,0,0,40,22,18,5.8,0,0,0,0,0,0,411,552,628,726,0,0,0,0,0
1998,304,264,40,12,28,0,304,276,0,28,0,307,0,0,41,26,15,4.9,0,0,0,0,0,0,424,571,669,784,0,0,0,0,0
1999,383,298,85,18,67,0,383,308,0,75,0,326,0,0,27,22,5,4.4,0,0,0,0,0,0,442,574,680,796,0,0,0,0,0
2000,292,264,28,8,20,0,292,270,0,22,0,346,0,0,60,32,28,3.2,0,0,0,0,0,0,446,562,683,809,0,0,0,0,0
2001,294,256,38,14,24,0,294,257,1,36,0,262,0,0,82,79,3,3.7,0,0,0,0,0,0,467,596,698,833,115.323,58.2,0,8.5,0
2002,423,369,54,0,36,18,423,405,18,0,0,366,0,0,106,101,5,2.6,0,0,0,0,0,0,441,605,718,840,116.737,57.6,3.08008213552361,6.5,1037
2003,547,470,77,0,71,6,547,507,13,24,3,448,0,0,13,7,6,1.4,0,0,0,0,0,0,454,614,728,845,117.925,58.3,5.57768924302788,4.3,889
2004,514,471,43,4,18,21,514,471,23,20,0,559,0,0,20,18,2,1.7,0,0,0,0,0,0,529,675,775,922,118.913,65.5999999999999,12.6415094339622,5.7,631
2005,619,449,170,8,157,5,619,486,102,31,0,413,0,0,6,5,1,2.8,4,0,0,0,0,0,521,693,797,967,120.042,66.9,2.34505862646565,7,732
2006,437,283,154,4,89,61,437,339,59,39,0,546,466,68.117,33,19,14,2.8,4.5,0,0,0,0,0,534,697,818,995,120.61,64,-2.45499181669394,6.1,491
2007,540,324,216,4,107,105,540,373,0,167,0,413,675,100.745,24,18,6,2.8,4.7,0,0,0,0,0,568,709,822,1000,120.56,66.0999999999999,4.36241610738255,5.6,282
2008,428,300,128,0,82,46,428,331,50,47,0,356,464,90.416,8,5,3,2.4,4.3,0,0,0,0,0,578,717,850,1043,120.895,66.3,0.482315112540188,6.2,504
2009,371,286,85,0,55,30,371,313,40,18,0,446,428,79.892,10,3,7,6,7.7,7.7,0,0,0,0,589,749,875,1057,120.988,62.8,-6.4,7.7,338
2010,404,306,98,16,78,4,404,335,4,65,0,539,395,74.467,13,3,10,4.1,6.4,14.1,0,0,0,0,590,747,890,1096,121.865,61.5,-3.24786324786324,9.4,995
2011,351,239,112,6,58,48,351,279,18,54,0,342,370,81.381,5,1,4,3.5,4.8,10.4,0,0,0,0,610,769,899,1122,122.197,62.4,1.76678445229682,9.6,145
2012,343,197,146,2,50,94,343,215,70,58,0,236,402,81.486,7,1,6,2.7,4.8,7.7,0,0,0,0,641,774,904,1093,122.748,62,1.56249999999999,8.5,584
2013,354,224,130,0,48,82,354,245,82,27,0,320,550,116.819,9,7,2,4.8,6.4,6.3,0,0,0,0,622,778,915,1085,123.164,58.6,-6.15384615384615,9.6,396
2014,232,203,29,2,27,0,232,226,0,6,0,430,619,107.382,20,10,10,2.9,3.7,6.1,0,0,0,0,638,803,952,1149,123.028,63.4,10.2003642987249,8.19999999999999,-127
2015,365,296,69,2,55,12,365,342,12,11,0,331,431,108.573,17,15,2,3.7,5.1,4.6,0,0,0,0,666,816,959,1172,123.435,63.5,1.15702479338843,7.7,450
2016,495,324,171,2,40,129,495,342,85,68,0,330,509,121.085,11,9,2,1,2.2,4,0,0,0,0,691,834,980,1208,124.082,59.8,-2.77777777777778,5.1,715
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough,peterborough
